,bite_Year,bite_Month,SpeciesIDDesc,GenderIDDesc,color,vaccination_yrs,victim_zip,WhereBittenIDDesc,Gender
956,2010,10,DOG,MALE,GRAY,3,40231,BODY,1
960,2010,10,DOG,MALE,LIVER-WHT,1,41472,BODY,1
963,2010,10,DOG,MALE,BLK-TAN,1,40272,BODY,1
965,2010,10,DOG,MALE,BROWN,1,40228,HEAD,1
967,2010,10,DOG,MALE,TAN,1,40219,BODY,1
973,2010,10,DOG,MALE,GRAY-WHT,3,40241,BODY,1
974,2010,10,CAT,FEMALE,CALICO,1,40229,BODY,0
975,2010,10,DOG,FEMALE,BLACK,3,40208,BODY,0
976,2010,10,DOG,MALE,BLACK,1,40299,BODY,1
978,2010,10,DOG,FEMALE,BROWN-TAN,3,40272,BODY,0
979,2010,10,DOG,MALE,BLK-BROWN,1,40219,BODY,1
981,2010,10,CAT,MALE,BLACK-WHT,1,40245,BODY,1
987,2010,10,DOG,MALE,BLK-BROWN,1,40215,BODY,1
988,2010,10,DOG,MALE,BLK-WHITE,1,40299,BODY,1
993,2010,10,DOG,MALE,BROWN,1,40212,BODY,1
995,2010,10,DOG,FEMALE,WHITE,1,40213,BODY,0
996,2010,10,DOG,MALE,BLK-WHITE,1,40205,HEAD,1
998,2010,10,DOG,MALE,BRN-WHITE,1,40220,BODY,1
1003,2010,10,DOG,MALE,BLUE MERLE,1,40206,BODY,1
1006,2010,10,DOG,MALE,CREAM,3,40213,HEAD,1
1011,2010,11,DOG,FEMALE,BLK-WHITE,1,40299,HEAD,0
1013,2010,11,DOG,MALE,BROWN,1,40229,BODY,1
1014,2010,11,CAT,MALE,BLACK,1,40205,BODY,1
1015,2010,11,CAT,FEMALE,TRI,1,40216,BODY,0
1016,2010,11,DOG,MALE,BRN-WHITE,1,40222,BODY,1
1018,2010,11,DOG,MALE,BLH-WHITE,1,40223,BODY,1
1020,2010,11,DOG,FEMALE,BLACK,1,40258,BODY,0
1024,2010,11,DOG,FEMALE,TRI,1,40216,BODY,0
1025,2010,11,DOG,FEMALE,BRN-WHITE,1,40272,BODY,0
